property_type,sector,price,price_per_sqft,built_up_area,latitude,longitude,bedRoom
flat,Sector-2,177.8823815505618,5760.235904259901,2380.9363235942,28.54111503450314,77.11858798696834,1
house,Sector-2,118.20246971143226,5180.632645676584,2478.9476093146213,28.585049663483133,77.11601724156756,3
flat,Sector-4,130.516824076638,4472.328797709588,2474.045356986385,28.436115069025465,77.01829736747955,1
flat,Sector-9,97.83045965792215,7742.266534810783,728.0152576217259,28.513589046110525,77.17549217252608,2
flat,Sector-8,39.309478599745326,6818.028970798804,1736.0507617564538,28.58309765951761,77.05312000851774,2
house,Sector-10,86.98353107980316,3700.5658788322626,643.8969000416107,28.40678919571716,77.02590298425656,4
flat,Sector-9,166.48508626166193,7342.339879489564,1873.8222058093388,28.539484053449367,77.1777496159738,5
flat,Sector-5,30.787443910782486,5437.155991247568,1603.8262534334426,28.45946980147451,77.19113029964595,1
flat,Sector-2,86.6948591874945,7472.761134470457,2719.2604568957495,28.584879239075306,77.17242552345309,1
house,Sector-5,97.68867791046036,6999.276279736576,1377.2875313801967,28.594211649033074,77.16190321494497,3
flat,Sector-9,121.35725249944689,5126.067522346168,792.6675410690146,28.588853297822688,77.13104839612781,2
flat,Sector-10,186.37545479016927,3112.346541600587,857.4792051320896,28.494842843331494,77.11017147412183,5
flat,Sector-10,88.87881904221342,4343.38679692473,2403.7765792936807,28.572408530197865,77.01739735198228,4
flat,Sector-1,88.98204432235872,5708.171073304335,2045.5451582906526,28.568909879707014,77.08169064261413,2
house,Sector-10,155.37521217865722,6167.391099130737,752.8066903069756,28.46382009464865,77.07453770340247,4
flat,Sector-8,106.87704995126721,4289.438427166011,710.2670152874936,28.565783094830138,77.05195075675206,3
house,Sector-10,68.18281989979693,3696.7803703641207,2252.4228286478,28.407401526943097,77.14468402273772,3
house,Sector-9,106.91471774255788,7174.651183996496,681.9075159104839,28.51925397569641,77.09917514701576,1
house,Sector-1,53.94569346456598,7922.01090351776,2554.6501482258905,28.44600176745754,77.01620924318154,5
flat,Sector-9,59.98578770605796,5628.45091151343,2265.6055678912408,28.424113377155454,77.04403664038996,4
house,Sector-9,114.72252136571156,3858.3964292415176,703.3719516047495,28.41539064032584,77.13665175273192,2
flat,Sector-3,101.21732641577314,4361.536632596844,712.0942852129798,28.53925775517563,77.01522617189806,3
house,Sector-1,185.523803181577,3091.953382737334,2966.5989462529387,28.467974992753614,77.17024138280975,1
house,Sector-9,91.60696284982762,7571.494032802495,1435.6769893903008,28.544953354305754,77.0990293054028,1
house,Sector-3,128.7000195472674,3588.7554144507058,1426.6053676672273,28.413071268159786,77.09611731546534,4
house,Sector-3,137.48492894632017,5882.582377571268,2531.9989181437563,28.46305806756612,77.11848155693191,3
house,Sector-1,32.22605762001672,4370.27610343603,2868.121443459647,28.507898258475066,77.16493619318503,5
house,Sector-5,142.8013532428408,5770.890012578967,2965.002659557177,28.558144632967792,77.06956184158044,3
house,Sector-8,60.26611436785774,6257.101941759322,2383.445463147354,28.463750500586414,77.13560323051182,4
house,Sector-10,193.38195396980737,7148.709018536008,1440.6489638272894,28.525178275287402,77.11314639279917,4
flat,Sector-8,55.27266371802921,4032.106358803016,708.7517917466719,28.57719554964724,77.05340565403388,3
flat,Sector-10,100.48610103359404,3054.9791432924026,2442.867289818592,28.52317263763646,77.17572599727103,4
house,Sector-9,44.50944357336945,3684.428150344036,1896.0106243395126,28.446591894950725,77.15948520432138,3
house,Sector-2,199.46862281381104,7500.0932092405255,1560.5550231174407,28.404880156311307,77.13169036693169,2
house,Sector-1,115.37315175631124,7369.450387812576,2765.88596273684,28.574019774780187,77.17011634581885,3
flat,Sector-8,131.21545294440745,5987.065510851542,777.9937057653783,28.404253882170075,77.17345884019197,3
house,Sector-8,41.40300115603267,6002.584302168267,1731.5627607271479,28.57494033453684,77.14167259534301,4
